car_make,id1,car_model,id2,link
Hyundai,11600,Trajet,26,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11600;26&ref=quickSearch&sfmr=false&vc=Car
Hyundai,11600,Tucson,27,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11600;27&ref=quickSearch&sfmr=false&vc=Car
Hyundai,11600,Veloster,37,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11600;37&ref=quickSearch&sfmr=false&vc=Car
Hyundai,11600,Veracruz,21,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11600;21&ref=quickSearch&sfmr=false&vc=Car
Hyundai,11600,XG 30,28,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11600;28&ref=quickSearch&sfmr=false&vc=Car
Hyundai,11600,XG 350,29,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11600;29&ref=quickSearch&sfmr=false&vc=Car
Hyundai,11600,Other,1,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11600;1&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,EX30,12,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;12&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,EX35,8,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;8&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,EX37,5,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;5&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,FX,2,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;2&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,G35,3,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;3&ref=quickSearch&sfmr=false&vc=Car
Infiniti,11650,G37,4,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=11650;4&ref=quickSearch&sfmr=false&vc=Car
